ukprn,provider,postcode,lad_code,lad_name,msoa_code,lsoa_code,region,ttwa_code,ttwa_name,year,rent_all,rent_2bed,house_price,ttwa_rent,ttwa_hp,nat_rent_all,nat_house_price,cpih,cost_index_rent,cost_index_hp,infl_factor,rent_factor,hp_factor,rent_factor_ttwa,hp_factor_ttwa,real_value_cpih_gbp,real_value_rent_gbp,real_value_hp_gbp,real_value_rent_ttwa_gbp,real_value_hp_ttwa_gbp
10000291,Anglia Ruskin University,CM1 1SQ,E07000070,Chelmsford,E02006978,E01034089,East of England,E30000188,Chelmsford,2020,1033.75,932.25,327009.5833333333,1004.3545854271357,343698.26214405365,1070.5,239383.33333333334,108.86666666666666,0.9656702475478748,1.3660499199331615,1,0.5829101168883515,0.4550055235384284,0.6038207632230493,0.41546398675155183,5000,2915,2275,3019,2077
10000291,Anglia Ruskin University,CM1 1SQ,E07000070,Chelmsford,E02006978,E01034089,East of England,E30000188,Chelmsford,2021,1078.9166666666667,970.6666666666666,342753.4166666667,1043.0904522613066,358339.41839405365,1084.1666666666667,257885.25,111.60833333333333,0.9951575710991545,1.3290927521704583,0.9754349286940939,0.5585077624160038,0.4341055681185769,0.5813974722944347,0.39848881507343,4877,2793,2171,2907,1992
10000291,Anglia Ruskin University,CM1 1SQ,E07000070,Chelmsford,E02006978,E01034089,East of England,E30000188,Chelmsford,2022,1118.9166666666667,1002.6666666666666,377715.25,1084.8646880234508,389957.80030360137,1129.25,281827.6666666667,120.45,0.990849383809313,1.3402348125272772,0.9038328490383284,0.5385417442466671,0.3939241708315104,0.5590099475208222,0.3661787252845721,4519,2693,1970,2795,1831
10000291,Anglia Ruskin University,CM1 1SQ,E07000070,Chelmsford,E02006978,E01034089,East of England,E30000188,Chelmsford,2023,1181.9166666666667,1057,374821,1141.894472361809,389194.15153894474,1210.4166666666667,282333.5,128.63333333333333,0.9764543889845094,1.3275824512500287,0.8463332469551698,0.5098357188183036,0.3969659295147995,0.5310912409137478,0.3668972148356134,4232,2549,1985,2655,1834
10000291,Anglia Ruskin University,CM1 1SQ,E07000070,Chelmsford,E02006978,E01034089,East of England,E30000188,Chelmsford,2024,1266.3333333333333,1132.9166666666667,369271,1230.1344221105528,381274.0644891122,1316.0833333333333,282734.5,132.84166666666667,0.9621984423478757,1.3060698287616122,0.819521987328273,0.4758489076072651,0.40293217357081024,0.49299502673755796,0.3745186560782347,4098,2379,2015,2465,1873
10000291,Anglia Ruskin University,CM1 1SQ,E07000070,Chelmsford,E02006978,E01034089,East of England,E30000188,Chelmsford,2025,1382.75,1240.75,381534.5833333333,1321.2798890284757,394409.4450900335,1399.8333333333333,289432.0833333333,138,0.9877961662102632,1.3182180045117091,0.7888888888888889,0.43578617489302723,0.3899808121369513,0.4589868939616566,0.3620457167230167,3944,2179,1950,2295,1810
10000291,Anglia Ruskin University,CM1 1SQ,E07000070,Chelmsford,E02006978,E01034089,East of England,E30000188,Chelmsford,2026,1442.4,1294.6,378491,1367.4644472361808,392884.9563442211,1433.4,290340.25,140.82,1.0062787777312683,1.303611882954568,0.7730909435212802,0.41776437419116286,0.3931167892147149,0.4434851330467093,0.36345054175309566,3865,2089,1966,2217,1817
10000385,The Arts University College at Bournemouth,BH12 5HH,E06000058,"Bournemouth, Christchurch and Poole",E02003202,E01015388,South West,E30000175,Bournemouth,2020,997.0833333333334,834.8333333333334,281613,960.0743223760093,289819.6784890427,1070.5,239383.33333333334,108.86666666666666,0.9314183403394053,1.1764102207059806,1,0.604346009193481,0.528353331226423,0.6316700053161808,0.492700326542344,5000,3022,2642,3158,2464
10000385,The Arts University College at Bournemouth,BH12 5HH,E06000058,"Bournemouth, Christchurch and Poole",E02003202,E01015388,South West,E30000175,Bournemouth,2021,1052.9166666666667,880.5833333333334,297814.0833333333,1005.1701268742792,308096.407727797,1084.1666666666667,257885.25,111.60833333333333,0.9711760184473482,1.154831784033144,0.9754349286940939,0.5722991689750693,0.49961091497519844,0.6033308552503707,0.4634726230112593,4877,2861,2498,3017,2317
10000385,The Arts University College at Bournemouth,BH12 5HH,E06000058,"Bournemouth, Christchurch and Poole",E02003202,E01015388,South West,E30000175,Bournemouth,2022,1095.3333333333333,912.0833333333334,330048.75,1050.3108419838522,342608.5198241061,1129.25,281827.6666666667,120.45,0.9699653162128256,1.1711013113214577,0.9038328490383284,0.5501369446135119,0.4508157254546992,0.5774006399607423,0.416785462028961,4519,2751,2254,2887,2084
10000385,The Arts University College at Bournemouth,BH12 5HH,E06000058,"Bournemouth, Christchurch and Poole",E02003202,E01015388,South West,E30000175,Bournemouth,2023,1166.3333333333333,968.3333333333334,328200.8333333333,1114.51946366782,340261.21770472894,1210.4166666666667,282333.5,128.63333333333333,0.9635800344234078,1.1624579914651763,0.8463332469551698,0.5166476136038869,0.45335401849985146,0.5441359905222198,0.4196606689213172,4232,2583,2267,2721,2098
10000385,The Arts University College at Bournemouth,BH12 5HH,E06000058,"Bournemouth, Christchurch and Poole",E02003202,E01015388,South West,E30000175,Bournemouth,2024,1280.3333333333333,1064.0833333333333,320602.5,1214.852652825836,331481.36548442906,1316.0833333333333,282734.5,132.84166666666667,0.97283606661179,1.133934839929333,0.819521987328273,0.4706456651913565,0.46409858521585656,0.49919646708474075,0.43077610115810894,4098,2353,2320,2496,2154
10000385,The Arts University College at Bournemouth,BH12 5HH,E06000058,"Bournemouth, Christchurch and Poole",E02003202,E01015388,South West,E30000175,Bournemouth,2025,1362.4166666666667,1137.0833333333333,314560.6666666667,1287.8667820069206,326197.42805651674,1399.8333333333333,289432.0833333333,138,0.9732706274556496,1.0868203104643146,0.7888888888888889,0.4422900483209982,0.4730126250156302,0.4708950962879354,0.4377540653239242,3944,2211,2365,2354,2189
10000385,The Arts University College at Bournemouth,BH12 5HH,E06000058,"Bournemouth, Christchurch and Poole",E02003202,E01015388,South West,E30000175,Bournemouth,2026,1397.6,1168,308741.75,1318.7449826989618,321381.53157439444,1433.4,290340.25,140.82,0.9750244174689549,1.0633790871227808,0.7730909435212802,0.4311557908796032,0.4819275872688636,0.4598691636938122,0.44431380213549704,3865,2156,2410,2299,2222
10000571,Bath Spa University,BA2 9BN,E06000022,Bath and North East Somerset,E02003006,E01035210,South West,E30000165,Bath,2020,1300.9166666666667,1048.25,335290.8333333333,1286.3459687123948,333299.91937424784,1070.5,239383.33333333334,108.86666666666666,1.215242098707769,1.400644015874121,1,0.4631990263275895,0.4437674755001255,0.4714518232806577,0.42842569688596627,5000,2316,2219,2357,2142
10000571,Bath Spa University,BA2 9BN,E06000022,Bath and North East Somerset,E02003006,E01035210,South West,E30000165,Bath,2021,1310.5833333333333,1053.6666666666667,360001.5833333333,1297.049338146811,357723.5962695547,1084.1666666666667,257885.25,111.60833333333333,1.208839354342813,1.3959758587718116,0.9754349286940939,0.4597825395816113,0.41330697851097414,0.46756135983667513,0.3991748146307605,4877,2299,2067,2338,1996
10000571,Bath Spa University,BA2 9BN,E06000022,Bath and North East Somerset,E02003006,E01035210,South West,E30000165,Bath,2022,1403.1666666666667,1121.9166666666667,405489.75,1388.300240673887,402692.3689831528,1129.25,281827.6666666667,120.45,1.2425651243450668,1.4387861731105178,0.9038328490383284,0.4294453022924338,0.3669418688552957,0.4368292495755881,0.3545988482238224,4519,2147,1835,2184,1773
10000571,Bath Spa University,BA2 9BN,E06000022,Bath and North East Somerset,E02003006,E01035210,South West,E30000165,Bath,2023,1484.5,1183.8333333333333,406765,1468.5479843561975,404067.9461492178,1210.4166666666667,282333.5,128.63333333333333,1.2264371772805507,1.4407252416025729,0.8463332469551698,0.4059166947344785,0.3657914684563978,0.41295903081099966,0.3533916797676799,4232,2030,1829,2065,1767
10000571,Bath Spa University,BA2 9BN,E06000022,Bath and North East Somerset,E02003006,E01035210,South West,E30000165,Bath,2024,1581.9166666666667,1264.75,410919.8333333333,1564.7311973525873,407951.4124548737,1316.0833333333333,282734.5,132.84166666666667,1.2019882226302794,1.4533770492576368,0.819521987328273,0.38091977032081337,0.3620929305351125,0.3875746539375277,0.3500275912042441,4098,1905,1810,1938,1750
10000571,Bath Spa University,BA2 9BN,E06000022,Bath and North East Somerset,E02003006,E01035210,South West,E30000165,Bath,2025,1750.9166666666667,1408,411936.0833333333,1730.4672081829121,409161.34702166065,1399.8333333333333,289432.0833333333,138,1.2508036671032268,1.4232564634478153,0.7888888888888889,0.34415306268145257,0.36119964403862814,0.3504545763429919,0.34899252157948607,3944,1721,1806,1752,1745
10000571,Bath Spa University,BA2 9BN,E06000022,Bath and North East Somerset,E02003006,E01035210,South West,E30000165,Bath,2026,1868.6,1506.2,402688.25,1845.7841155234657,400274.6092057762,1433.4,290340.25,140.82,1.3036137854053298,1.3869528940613642,0.7730909435212802,0.32247850440615083,0.3694946814729922,0.32855963339309197,0.3567407148639292,3865,1612,1847,1643,1784
10000712,University College Birmingham,B3 1JB,E08000025,Birmingham,E02006899,E01033620,West Midlands,E30000169,Birmingham,2020,789.8333333333334,724.5,185537.58333333334,781.985248687056,200978.11184738958,1070.5,239383.33333333334,108.86666666666666,0.7378172193678967,0.7750647497041008,1,0.7629246676514032,0.8019462364094246,0.7755263329294318,0.7104965258026589,5000,3815,4010,3878,3552
10000712,University College Birmingham,B3 1JB,E08000025,Birmingham,E02006899,E01033620,West Midlands,E30000169,Birmingham,2021,802.6666666666666,735.1666666666666,204331,797.9859901143034,220285.6918751931,1084.1666666666667,257885.25,111.60833333333333,0.7403535741737124,0.7923330240872636,0.9754349286940939,0.7507267441860466,0.728186945038524,0.7599759392170714,0.6482229917631291,4877,3754,3641,3800,3241
10000712,University College Birmingham,B3 1JB,E08000025,Birmingham,E02006899,E01033620,West Midlands,E30000169,Birmingham,2022,832.3333333333334,759.0833333333334,223962.25,829.6428792091442,240958.27863762743,1129.25,281827.6666666667,120.45,0.7370673751014686,0.7946780124496885,0.9038328490383284,0.7239687625150181,0.6643582419209785,0.7309773488290288,0.592609853611604,4519,3620,3322,3655,2963
10000712,University College Birmingham,B3 1JB,E08000025,Birmingham,E02006899,E01033620,West Midlands,E30000169,Birmingham,2023,898.0833333333334,817.1666666666666,226249.25,892.3307537843683,244530.68058387397,1210.4166666666667,282333.5,128.63333333333333,0.7419621342512909,0.8013546036867747,0.8463332469551698,0.6709659459961028,0.6576426956848107,0.6796248473418983,0.5839522872508021,4232,3355,3288,3398,2920
10000712,University College Birmingham,B3 1JB,E08000025,Birmingham,E02006899,E01033620,West Midlands,E30000169,Birmingham,2024,999.9166666666666,910.0833333333334,226780.91666666666,987.2252548656163,244416.50282669137,1316.0833333333333,282734.5,132.84166666666667,0.7597669853732667,0.8020984940524296,0.819521987328273,0.6026335527960665,0.6561009138408544,0.6142976482117386,0.5842250771880152,4098,3013,3281,3071,2921
